family,task,metric,protocol,model,value,std,ci_low,ci_high,skill,skill_ci_low,skill_ci_high,n_runs,n,baseline,higher_is_better,unit
generation,generation/stay_duration,w1:stay_duration,native,baseline:uniform_bbox,25.37822658579219,,,,,,,1,0,,False,native
generation,generation/visited_cells,jsd:visited_cells,native,KinematicRef,0.4373697551906707,0.07747852036236359,,,0.8385633128038288,,,2,0,uniform_bbox,False,bits
location,next_location,acc@1,native,KinematicRef,0.11864406779661017,,0.05084745762711865,0.22033898305084745,-0.04000000000000001,-0.19576086956521738,0.13002525252525263,1,59,markov1,True,fraction
location,next_location,acc@1,native,WeakRef,0.13559322033898305,,0.06779661016949153,0.2033898305084746,-0.020000000000000014,-0.1915934320074006,0.12262849584278161,1,59,markov1,True,fraction
location,next_location,acc@1,native,baseline:global_popular,0.03389830508474576,,0.0,0.0847457627118644,,,,1,59,,True,fraction
location,next_location,acc@1,native,baseline:markov1,0.15254237288135594,,0.06779661016949153,0.2711864406779661,,,,1,59,,True,fraction
location,next_location,acc@1,native,baseline:user_frequent,0.1016949152542373,,0.03389830508474576,0.18686440677966112,,,,1,59,,True,fraction
location,next_location,acc@5,native,KinematicRef,0.5932203389830508,,0.4911016949152543,0.7457627118644068,-0.3333333333333336,-1.1818181818181825,0.1669117647058825,1,59,markov1,True,fraction
location,next_location,acc@5,native,baseline:global_popular,0.06779661016949153,,0.01694915254237288,0.13559322033898305,,,,1,59,,True,fraction
location,next_location,acc@5,native,baseline:markov1,0.6949152542372882,,0.576271186440678,0.8139830508474578,,,,1,59,,True,fraction
location,next_location,acc@5,native,baseline:user_frequent,0.7627118644067796,,0.6610169491525424,0.8648305084745764,,,,1,59,,True,fraction
location,next_location,acc_1km,native,KinematicRef,0.15254237288135594,,0.06779661016949153,0.2542372881355932,-0.0204081632653061,-0.19565217391304346,0.16681034482758625,1,59,markov1,True,fraction
location,next_location,acc_1km,native,WeakRef,0.13559322033898305,,0.06779661016949153,0.2033898305084746,-0.040816326530612235,-0.21957994579945803,0.10546176762661376,1,59,markov1,True,fraction
location,next_location,acc_1km,native,baseline:global_popular,0.05084745762711865,,0.0,0.11864406779661017,,,,1,59,,True,fraction
location,next_location,acc_1km,native,baseline:markov1,0.1694915254237288,,0.06779661016949153,0.288135593220339,,,,1,59,,True,fraction
location,next_location,acc_1km,native,baseline:user_frequent,0.11864406779661017,,0.05084745762711865,0.2033898305084746,,,,1,59,,True,fraction
location,next_location,dist_err_m,native,KinematicRef,7851.010351460592,,6579.454704228688,9118.792090212222,0.03855634189178825,-0.18228126948984652,0.2524305592631336,1,59,markov1,False,m
location,next_location,dist_err_m,native,WeakRef,7733.497732332997,,6334.47051921542,9029.914722928803,0.05294707089992068,-0.17366222937903744,0.23797912012315742,1,59,markov1,False,m
location,next_location,dist_err_m,native,baseline:global_popular,6496.279842822514,,5530.8289799184495,7260.01700724893,,,,1,59,,False,m
location,next_location,dist_err_m,native,baseline:markov1,8165.855882713567,,6848.336310509052,9498.091916459829,,,,1,59,,False,m
location,next_location,dist_err_m,native,baseline:user_frequent,7988.885114371571,,6799.209201797175,9157.39852517875,,,,1,59,,False,m
